"AdjClose.priceSS" "AdjClose.priceSZSA"
"834" 1464.65 NA
"835" 1466.04 NA
"836" 1469.27 NA
"837" 1459.89 NA
"838" 1469.96 NA
"839" 1464.54 NA
"840" 1474.66 NA
"841" 1477.77 NA
"842" 1462.4 NA
"843" 1456.27 NA
"844" 1499.35 NA
"845" 1491.94 NA
"846" 1510.58 NA
"847" 1522.55 NA
"848" 1521.32 NA
"849" 1511.73 NA
"850" 1521.13 NA
"851" 1515.13 NA
"852" 1520.55 NA
"853" 1543.67 NA
"854" 1551.18 NA
"855" 1576.86 NA
"856" 1616.07 NA
"857" 1631.47 NA
"858" 1606.24 NA
"859" 1613.6 NA
"860" 1603.08 NA
"861" 1571.71 NA
"862" 1568.69 NA
"863" 1541.96 NA
"864" 1503.59 NA
"865" 1487.15 NA
"866" 1537.69 NA
"867" 1509.31 NA
"868" 1521.44 NA
"869" 1521.44 NA
"870" 1521.44 NA
"871" 1521.44 NA
"872" 1521.44 NA
"873" 1521.44 NA
"874" 1521.44 NA
"875" 1521.44 NA
"876" 1531.87 NA
"877" 1485.31 NA
"878" 1522.92 NA
"879" 1555.29 NA
"880" 1554.45 NA
"881" 1555.45 NA
"882" 1535.52 NA
"883" 1533.48 NA
"884" 1546.11 NA
"885" 1560.95 NA
"886" 1569.51 NA
"887" 1568.34 NA
"888" 1551.81 NA
"889" 1568.16 NA
"890" 1576.26 NA
"891" 1576.53 NA
"892" 1562.24 NA
"893" 1574.11 NA
"894" 1556.25 NA
"895" 1538.92 NA
"896" 1530.21 NA
"897" 1538.76 NA
"898" 1565.84 NA
"899" 1562.11 NA
"900" 1566.77 NA
"901" 1559.7 NA
"902" 1557.18 NA
"903" 1553.88 NA
"904" 1538.75 NA
"905" 1529.47 NA
"906" 1511.36 NA
"907" 1512.43 NA
"908" 1502.08 NA
"909" 1515.38 NA
"910" 1497.05 NA
"911" 1486.02 NA
"912" 1484.7 NA
"913" 1499.68 NA
"914" 1504.44 NA
"915" 1502.35 NA
"916" 1501.48 NA
"917" 1512.02 NA
"918" 1503.31 NA
"919" 1531.93 NA
"920" 1528.85 NA
"921" 1521.41 NA
"922" 1525.44 NA
"923" 1529.49 NA
"924" 1539.36 NA
"925" 1507.16 NA
"926" 1495.89 NA
"927" 1498.48 NA
"928" 1502.15 NA
"929" 1493.45 NA
"930" 1477.65 NA
"931" 1470.39 NA
"932" 1477.3 NA
"933" 1479.65 NA
"934" 1476.74 NA
"935" 1476.97 NA
"936" 1494.36 NA
"937" 1494.31 NA
"938" 1486.25 NA
"939" 1487.37 NA
"940" 1471.27 NA
"941" 1474.41 NA
"942" 1479.28 NA
"943" 1465.83 NA
"944" 1455.9 NA
"945" 1450.2 NA
"946" 1445.09 NA
"947" 1449.71 NA
"948" 1441.66 NA
"949" 1441.09 NA
"950" 1438.88 NA
"951" 1422.18 NA
"952" 1425.21 NA
"953" 1425.36 NA
"954" 1415.69 NA
"955" 1421.98 NA
"956" 1449.82 NA
"957" 1446.51 NA
"958" 1447.85 NA
"959" 1447.43 NA
"960" 1431.53 NA
"961" 1425.73 NA
"962" 1420.07 NA
"963" 1423.18 NA
"964" 1423.96 NA
"965" 1409.16 NA
"966" 1397.54 NA
"967" 1406.1 NA
"968" 1389.82 NA
"969" 1390.48 NA
"970" 1391.37 NA
"971" 1381.44 NA
"972" 1390.17 NA
"973" 1394.23 NA
"974" 1376.29 NA
"975" 1370.84 NA
"976" 1355.33 NA
"977" 1367.16 NA
"978" 1367.16 NA
"979" 1367.16 NA
"980" 1367.16 NA
"981" 1367.16 NA
"982" 1367.16 NA
"983" 1371.69 NA
"984" 1369.17 NA
"985" 1404.01 NA
"986" 1399.66 NA
"987" 1388.17 NA
"988" 1383.1 NA
"989" 1365.51 NA
"990" 1370.58 NA
"991" 1359.5 NA
"992" 1364.3 NA
"993" 1398.01 NA
"994" 1386.65 NA
"995" 1381.83 NA
"996" 1369.46 NA
"997" 1369.32 NA
"998" 1361.49 NA
