收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
53.37	348806	1.3468	8.734	23.37	3.36
53.63	205782	0.7946	8.561	23.48	3.37
52.26	197402	0.7622	8.552	22.88	3.29
53.63	347599	1.342	8.673	23.48	3.74
52.26	376631	1.4541	8.268	22.88	3.65
52.95	312828	1.2078	8.225	23.18	3.7
52.6	347472	1.3416	8.255	23.03	3.67
51.32	321204	1.2401	8.379	22.47	3.58
51.32	249393	0.9629	8.154	22.56	3.58
52.86	319727	1.2344	8.176	23.23	3.69
52.77	298679	1.1531	8.144	23.2	3.68
51.32	233104	0.9	8.12	22.56	3.58
52.6	215846	0.8333	8.127	23.12	3.44
53.54	230682	0.8906	8.112	23.53	3.5
52.95	200879	0.7755	8.054	23.27	3.46
54.23	241789	0.9335	8.021	23.83	3.55
55.17	182333	0.7039	7.943	24.25	3.61
54.74	231981	0.8956	7.778	24.06	3.58
54.31	228963	0.8839	7.651	23.87	3.55
52.26	219489	0.8474	8.016	22.97	3.42
52.6	338343	1.3062	8.369	23.12	3.44
49.61	325722	1.2574	8.348	21.8	3.25
49.95	149196	0.576	8.145	21.95	3.27
50.29	251083	0.9693	8.205	22.11	3.29
51.66	269822	1.0416	8.168	17.56	3.38
52	206234	0.7962	8.205	17.67	3.4
51.32	256888	0.9917	7.864	17.44	3.36
53.03	292825	1.1304	8.162	18.02	3.47
53.37	179017	0.6911	7.791	18.14	3.49
53.63	183159	0.7071	7.761	18.23	3.51
53.89	257188	0.9928	7.778	18.31	3.53
52.77	296504	1.1446	7.716	17.94	3.45
52.86	250867	0.9684	7.727	17.97	3.46
50.81	269099	1.0388	7.868	12.69	3.32
52.35	228900	0.8836	7.892	13.08	3.42
50.29	233295	0.9006	8.23	12.56	3.29
50.21	230223	0.8887	8.15	12.54	3.29
52.18	181350	0.7001	8.406	13.03	2.99
51.75	228327	0.8814	8.389	12.93	2.97
53.63	190838	0.7367	8.479	13.4	3.08
52.52	204936	0.7911	8.261	13.12	3.01
51.58	259335	1.0011	8.271	12.88	2.96
54.32	305963	1.1811	7.941	12.91	2.96
53.87	208312	0.8041	7.856	12.8	2.94
56.47	270402	1.0438	8.131	13.42	3.08
56.11	157349	0.6074	8.075	13.33	3.06
54.77	194251	0.7499	7.647	13.01	2.99
