TSMC	TWI
20.78	7581.5
20.96	7623.18
21.05	7627.74
20.6	7474.16
20.96	7494.6
21.15	7612.8
21.51	7629.09
21.42	7550.13
21.24	7496.61
19.79	7289.62
19.97	7371.17
19.34	7383.26
19.97	7588.04
19.52	7572.16
19.7	7560.05
19.16	7469.33
18.98	7484.37
19.16	7474.45
19.7	7448.41
19.7	7416.2
20.33	7592.53
20.06	7576.64
20.24	7599.76
19.88	7585.51
19.61	7614.6
19.97	7608.88
20.69	7606.69
21.05	7588.23
21.42	7417.03
21.6	7426.63
21.6	7469.01
21.24	7387.37
21.15	7419.7
21.15	7316.57
21.05	7397.62
21.51	7488.03
21.69	7572.91
22.32	7590.44
22.77	7639.3
23.77	7802.69
25.3	7892.13
25.84	7957.71
25.75	7996.76
24.58	7979.4
24.94	7973.58
26.36	7960
27.26	8059.02
29.07	8274.36
28.62	8413.48
28.84	8608.91
28.16	8492.32
29.07	8589.31
27.6	8265.96
27.6	8281.45
28.62	8514.27
27.83	8467.37
27.94	8572.09
27.26	8563.55
27.38	8593.35
27.94	8454.49
28.62	8470.07
28.5	8592.43
28.05	8550.27
27.71	8463.9
27.04	8204.5
25.91	7888.66
26.47	7918.04
24.67	7411.58
26.14	7366.23
26.25	7386.89
27.6	7806.85
27.15	7786.65
26.14	7678.67
26.14	7724.52
25.57	7595.71
24.22	7367.97
25.01	7484.5
24.9	7359.37
25.46	7413.11
25.01	7326.75
23.88	7195.94
23.77	7175.19
23.32	7110.8
23.21	6959.73
22.98	6823.52
24.22	7049.74
24	7028.01
25.57	7269.6
26.02	7228.68
26.25	7330.24
28.05	7626.05
29.74	8018.47
29.52	8083.43
28.62	7993.71
29.29	7964.67
29.63	8117.42
29.07	8153.57
29.29	8119.98
28.84	7984.39
30.19	8127.09
29.74	8097.57
29.29	8053.97
29.63	8071.36
30.42	8157.73
31.32	8273.33
31.21	8226.15
30.53	8073.97
30.64	8065.11
31.54	8130.28
30.53	7945.76
31.21	7973.3
31.21	8025.02
31.66	8161.46
31.77	8178.69
31.43	8092.02
30.87	7971.04
31.09	7968.9
30.98	7916.92
31.32	8016.93
31.32	7972.14
30.31	7759.93
29.29	7577.85
29.85	7615.45
30.08	7598.79
30.08	7694.99
29.52	7659.55
29.52	7685.48
